"match_id","player1_id","player2_id","p1_winrate","p1_matches_played","p1_avg_svpt","p1_avg_ace","p1_avg_df","p1_avg_duration","p2_winrate","p2_matches_played","p2_avg_svpt","p2_avg_ace","p2_avg_df","p2_avg_duration","surface","best_of","match_weekday","match_month","season_phase","y"
110,101320,102021,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
111,102854,103292,0.666666666666667,3,57,3,3.66666666666667,83.6666666666667,0.5,2,78,1.5,2,93.5,"Hard",3,"Mo",1,"early","0"
112,101820,102796,NA,0,NA,NA,NA,NA,0.75,4,65,4.5,4,82.5,"Hard",3,"Mo",1,"early","0"
113,102021,102607,NA,0,NA,NA,NA,NA,0,1,80,2,5,101,"Hard",3,"Mo",1,"early","1"
114,102796,103292,0.75,4,65,4.5,4,82.5,0.5,2,78,1.5,2,93.5,"Hard",3,"Mo",1,"early","1"
115,102021,102796,NA,0,NA,NA,NA,NA,0.75,4,65,4.5,4,82.5,"Hard",3,"Mo",1,"early","0"
116,101532,102856,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
117,103206,103720,0.666666666666667,3,85,8,2.66666666666667,92,1,4,69,3,2.25,97.25,"Hard",3,"Mo",1,"early","0"
118,103444,101888,0.5,2,102.5,3,2.5,124,0.5,2,65,4,2.5,88,"Hard",3,"Mo",1,"early","0"
119,102437,102434,0,1,94,7,5,100,0,1,44,0,1,53,"Hard",3,"Mo",1,"early","1"
120,101611,102374,0.75,4,78.75,5,4.25,94.5,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
121,102456,102271,0,1,21,0,2,28,0,1,66,6,1,76,"Hard",3,"Mo",1,"early","0"
122,101792,101185,0.5,2,63.5,1,1.5,81.5,0,1,82,2,2,108,"Hard",3,"Mo",1,"early","1"
123,102610,102776,NA,0,NA,NA,NA,NA,0,1,49,0,3,65,"Hard",3,"Mo",1,"early","0"
124,103151,103096,NA,0,NA,NA,NA,NA,0,1,59,1,3,76,"Hard",3,"Mo",1,"early","0"
125,103498,103344,NA,0,NA,NA,NA,NA,0,1,57,2,1,62,"Hard",3,"Mo",1,"early","0"
126,102446,101774,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
127,102061,103103,NA,0,NA,NA,NA,NA,0,1,67,4,5,59,"Hard",3,"Mo",1,"early","0"
128,101727,102831,0.666666666666667,3,64.6666666666667,6.33333333333333,3.33333333333333,79.3333333333333,0,1,81,1,0,93,"Hard",3,"Mo",1,"early","1"
129,101897,102905,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
130,101962,102839,0.75,4,83.25,5.5,1.75,109,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
131,103720,101532,1,4,69,3,2.25,97.25,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
