tourney_date,tourney_name,surface,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,w_SvGms,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_bpSaved,l_bpFaced,l_SvGms,winner_rank,loser_rank,winner_rank_points,loser_rank_points
20000501,Munich,Clay,102539,Bohdan Ulihrach,R,188,CZE,25.1,102029,Filip Dewulf,R,190,BEL,28.1,6-3 6-1,3,64,3,1,53,28,22,15,3,3,8,0,1,60,46,22,8,3,7,8,114,184,350,180
20000501,Munich,Clay,102768,Federico Browne,R,180,ARG,24,102494,Tomas Behrend,R,193,GER,25.3,4-6 6-4 7-6(3),3,152,5,4,120,68,45,21,11,17,16,4,11,120,77,52,15,13,19,16,136,109,287,363
20000501,Munich,Clay,102035,Jonas Bjorkman,R,183,SWE,28.1,102446,Andrei Medvedev,R,193,UKR,25.6,6-0 2-6 6-4,3,105,5,1,93,48,30,23,10,14,12,7,6,71,39,29,10,7,13,12,80,26,510,1047
20000501,Munich,Clay,101897,Fernando Meligeni,L,180,BRA,29,101820,Marc Rosset,R,201,SUI,29.4,6-3 4-6 6-3,3,112,5,5,86,46,36,25,5,6,14,5,5,83,48,33,17,5,8,14,36,41,910,832
20000501,Munich,Clay,102477,Gaston Etlis,R,185,ARG,25.4,101964,Goran Ivanisevic,L,193,CRO,28.6,7-6(3) 6-1,3,62,8,3,57,38,32,12,0,0,10,11,3,57,30,23,10,3,5,9,135,60,289,648
20000501,Munich,Clay,102024,Hernan Gumy,R,188,ARG,28.1,101888,Daniel Vacek,R,190,CZE,29,6-0 6-4,3,53,6,0,39,31,25,6,3,4,8,1,6,48,32,17,4,4,9,8,87,46,468,785
20000501,Munich,Clay,103018,Max Mirnyi,R,196,BLR,22.8,103151,Mariano Zabaleta,R,183,ARG,22.1,6-7(4) 6-3 7-5,3,139,11,6,113,71,52,21,5,7,17,3,6,117,86,57,16,6,10,16,65,25,628,1095
20000501,Munich,Clay,102644,Franco Squillari,L,183,ARG,24.6,102533,Jens Knippschild,R,190,GER,25.2,6-7(6) 6-4 6-1,3,116,3,2,95,56,42,22,1,2,15,8,3,91,46,40,15,3,7,14,52,106,733,372
20000501,Munich,Clay,210013,Martin Damm Sr,R,188,CZE,27.7,102563,Thomas Johansson,R,180,SWE,25.1,6-7(6) 7-6(5) 6-3,3,153,16,0,105,69,57,22,1,1,17,11,2,119,59,46,34,9,10,16,NA,58,NA,663
20000501,Munich,Clay,101735,Richard Fromberg,R,196,AUS,30,103096,Arnaud Clement,R,173,FRA,22.3,7-5 6-1,3,73,9,1,57,39,30,11,1,1,10,2,3,47,30,22,8,4,7,9,61,53,644,725
